주소,latitude,longitude
서울특별시 동작구 사당동 사당로27길 190,37.4863617,126.9764115
서울특별시 동작구 상도동 등용로 37,0.0,0.0
서울특별시 동작구 동작동 동작대로39길 22,0.0,0.0
서울특별시 서초구 서초동 사임당로 17,37.4914518,127.0247531
서울특별시 서초구 서초동 서운로 221,37.5022874,127.0204439
서울특별시 서초구 방배동 동광로 89-5,37.4941062,126.9962656
서울특별시 서초구 방배동 방배로 278,37.4819279,126.9973292
서울특별시 서초구 방배동 동광로3길 18,37.4943634,126.984433
서울특별시 서초구 서초동 반포대로10길 42,37.4836105,127.0122492
서울특별시 서초구 우면동 형촌길 35,37.4634525,127.0218632
서울특별시 서초구 우면동 태봉로2길 30,37.4619455,127.0260862
서울특별시 서초구 우면동 태봉로 18,37.4603907,127.0197806
서울특별시 서초구 서초동 사임당로17길 90,37.4932067,127.0187454
서울특별시 서초구 서초동 서초중앙로24길 57,37.4954887,127.018228
서울특별시 서초구 신원동 청계산로7길 43,37.450243,127.0539768
서울특별시 서초구 우면동 양재대로2길 90,37.4595297,127.02272
서울특별시 서초구 우면동 양재대로2길 11,37.4595297,127.02272
서울특별시 구로구 고척동 중앙로12길 7,37.5052869,126.8622035
서울특별시 구로구 고척동 경인로 390,37.4993945,126.866787
서울특별시 영등포구 당산동2가 영등포로 106,37.5214105,126.8956468
서울특별시 영등포구 대림동 도신로 31,0.0,0.0
서울특별시 구로구 구로동 구로중앙로 134,37.49945,126.88384
서울특별시 영등포구 신길동 가마산로79길 7,0.0,0.0
서울특별시 구로구 오류동 오류로8길 11,37.4929813,126.8451297
서울특별시 강남구 일원동 일원로 127,37.4831474,127.0853694
서울특별시 강남구 율현동 밤고개로27길 20,37.4713882,127.1086849
서울특별시 강남구 도곡동 언주로30길 13,37.4883726,127.0514976
서울특별시 강남구 역삼동 도곡로43길 20,37.4960586,127.046966
서울특별시 강남구 대치동 도곡로93길 12,37.5010621,127.064742
서울특별시 강남구 삼성동 봉은사로109길 14-8,37.5163023,127.06487713316399
서울특별시 강남구 일원동 일원로 120,37.48631,127.08297
서울특별시 강남구 도곡동 언주로30길 56,37.4877352,127.0543467
서울특별시 중랑구 면목동 사가정로42길 90,37.5781461,127.0816797
서울특별시 중랑구 묵동 공릉로18길 59,0.0,0.0
서울특별시 동대문구 휘경동 망우로20길 86,37.590288,127.0637786
서울특별시 동대문구 장안동 장안벚꽃로1길 7,0.0,0.0
서울특별시 중랑구 망우동 망우로75길 19,37.6017235,127.1049349
서울특별시 중랑구 망우동 양원역로 6,37.60341,127.10745
